release_date,decade,is_modern,is_2000s,log_budget,source,director_popularity,actor_popularity,avg_actor_popularity,producer_popularity,popularity,vote_average,has_rating,genre_count,budget_x_director,budget_x_actor,popularity_x_vote,lang_en,lang_hi,lang_kn,lang_ml,lang_ta,lang_te,genre_Drama,genre_Action,genre_Romance,genre_Comedy,genre_Thriller,genre_Crime,genre_Family,genre_Horror,genre_Mystery,genre_Adventure,genre_Fantasy,genre_Music,genre_Science_Fiction,genre_Animation,target
1944.0,1940.0,0.0,0.0,15.112231455603029,0.0,0.0,0.0,0.0,0.0,2.716,8.092,1.0,2.0,0.0,0.0,21.977872,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hit
1944.0,1940.0,0.0,0.0,15.722816488426933,0.0,0.0,11.155191573640622,3.7183971912135405,0.0,1.7747,7.008,1.0,4.0,0.0,58.46367666853265,12.4370976,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hit
1945.0,1940.0,0.0,0.0,15.37173735042208,0.0,-0.7452222641509434,0.0,0.0,0.0,1.5549,7.6,1.0,2.0,-11.455360912215166,0.0,11.817239999999998,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hit
1945.0,1940.0,0.0,0.0,15.561380862459808,0.0,5.9372384415683355,0.0,0.0,1.9973614775725592,1.7188,7.6,1.0,2.0,92.3916286604822,0.0,13.06288,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hit
1945.0,1940.0,0.0,0.0,11.275739974793165,0.0,0.0,0.0,0.0,0.0,1.89,8.0,1.0,2.0,0.0,0.0,15.12,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hit
1946.0,1940.0,0.0,0.0,14.271460205350383,0.0,0.0,0.0,0.0,0.0,1.8092,7.3,1.0,2.0,0.0,0.0,13.207159999999998,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Avg
1946.0,1940.0,0.0,0.0,16.344631579899744,0.0,9.123076923076923,5.3999999999999995,1.7999999999999998,12.846153846153845,8.8648,8.3,1.0,3.0,149.11333118277764,29.420336843819538,73.57784000000001,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Hit
1946.0,1940.0,0.0,0.0,15.880897610707754,0.0,0.0,0.0,0.0,0.0,2.2028,7.5,1.0,3.0,0.0,0.0,16.521,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hit
1946.0,1940.0,0.0,0.0,15.880897610707754,0.0,1.10375911059296,2.538571944588637,0.5404030465701962,-0.37106918238993714,2.5061,7.7,1.0,3.0,17.528685422212654,8.58208545109582,19.29697,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Hit
1946.0,1940.0,0.0,0.0,13.801456956412027,0.0,-0.25,7.32081017463933,2.4402700582131103,-0.25,2.1552,7.6,1.0,3.0,-3.4503642391030067,33.67928217044931,16.379519999999996,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Hit
1946.0,1940.0,0.0,0.0,15.929687768840557,0.0,0.0,0.9607843137254904,0.3202614379084968,0.0,1.8153,7.8,1.0,2.0,0.0,5.101664710282271,14.159339999999998,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hit
1947.0,1940.0,0.0,0.0,14.725715246223949,0.0,0.0,0.0,0.0,0.0,3.1764,7.367,1.0,3.0,0.0,0.0,23.4005388,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hit
1947.0,1940.0,0.0,0.0,16.020659536547797,0.0,0.0,2.0000000000000004,0.6666666666666669,0.0,1.9758,7.349,1.0,4.0,0.0,10.680439691031868,14.5201542,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Flop
1947.0,1940.0,0.0,0.0,15.705353062519215,0.0,1.9973614775725592,18.789873449759554,6.263291149919851,2.4388046204105054,1.5419,7.287,1.0,2.0,31.369267198752098,98.36719884284324,11.2358253,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Hit
1948.0,1940.0,0.0,0.0,14.494603629895435,0.0,0.0,0.0,0.0,0.0,2.6018,7.977,1.0,2.0,0.0,0.0,20.7545586,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hit
1948.0,1940.0,0.0,0.0,15.593215580512377,0.0,3.6403193329447197,3.7163716981132073,1.2387905660377359,0.0,2.4002,7.9,1.0,3.0,56.76428414051402,19.316728355331367,18.96158,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Avg
1948.0,1940.0,0.0,0.0,14.206921726469195,0.0,0.04999999999999998,0.0,0.0,0.04999999999999998,2.4285,7.6,1.0,4.0,0.7103460863234595,0.0,18.4566,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Avg
1948.0,1940.0,0.0,0.0,16.52275143683157,0.0,3.7253333333333316,14.353430117117043,4.784476705705681,0.9581898671913424,2.3166,8.0,1.0,3.0,61.55275668600984,79.05271936368572,18.5328,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Avg
1948.0,1940.0,0.0,0.0,16.10404113666812,0.0,3.03858769905942,0.0,0.0,13.883602678571426,2.9731,7.0,1.0,1.0,48.93354130302662,0.0,20.811700000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Avg
1949.0,1940.0,0.0,0.0,16.208761437355438,0.0,0.0,0.0,0.0,11.155191573640622,2.3138,7.39,1.0,3.0,0.0,0.0,17.098982,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hit
1949.0,1940.0,0.0,0.0,16.286362676559513,0.0,0.0,0.0,0.0,0.0,3.4756,6.6,1.0,3.0,0.0,0.0,22.938959999999998,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hit
1950.0,1950.0,0.0,0.0,13.801456956412027,0.0,0.0,0.0,0.0,0.0,5.076,8.043,1.0,3.0,0.0,0.0,40.82626799999999,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Flop
