movie_id,title,release_date,genres,director,actors,producers,budget,revenue,popularity,vote_average,vote_count,year
906126,Society of the Snow,15-12-2023,"Drama, History",J. A. Bayona,"Enzo Vogrincic, Agustín Pardella, Matías Recalt, Esteban Bigliardi, Diego Vegezzi","Belén Atienza, Sandra Hermida",69206196.55,1353.4830194747653,4.0219,7.976,3461,2023
596161,Let Him Go,05-11-2020,"Thriller, Crime, Western",Thomas Bezucha,"Diane Lane, Kevin Costner, Kayli Carter, Lesley Manville, Will Brittain","Thomas Bezucha, Paula Mazur",26122548.88702567,9948287.610572968,6.6802,6.834,781,2020
677179,Creed III,01-03-2023,"Drama, Action",Michael B. Jordan,"Michael B. Jordan, Tessa Thompson, Jonathan Majors, Phylicia Rashād, Mila Davis-Kent","Ryan Coogler, Michael B. Jordan",79243736.5,290877342.1244363,5.8567,7.077,2838,2023
71552,American Reunion,04-04-2012,Comedy,Jon Hurwitz,"Jason Biggs, Alyson Hannigan, Seann William Scott, Chris Klein, Thomas Ian Nicholas","Warren Zide, Craig Perry",70111370.51,329508835.7784263,5.2188,6.302,4672,2012
1160956,Panda Plan,01-10-2024,"Action, Comedy",Zhang Luan,"Jackie Chan, Shi Ce, Wei Xiang, Han Yanbo, Danny Ray",,25657817.137355786,43349569.68306188,5.8226,6.773,275,2024
13195,Flawless,01-09-2007,"Crime, Drama, Thriller",Michael Radford,"Demi Moore, Michael Caine, Lambert Wilson, Nathaniel Parker, Shaughan Seymour","Michael A. Pierce, Mark Williams",31054296.765730046,10588873.925885733,5.9208,6.762,615,2007
856289,Creation of the Gods I: Kingdom of Storms,15-07-2023,"Action, Fantasy, War",Wuershan,"Yu Shi, Kris Phillips, Li Xuejian, Huang Bo, Narana Erdyneeva","Du Yang, Luo Shanshan",89809568.03696726,389965587.7963092,6.0269,7.1,473,2023
660,Thunderball,11-12-1965,"Adventure, Action, Thriller",Terence Young,"Sean Connery, Claudine Auger, Adolfo Celi, Luciana Paluzzi, Rik Van Nutter",Kevin McClory,91983714.28571428,1443122273.015873,6.3875,6.671,2606,1965
1010600,The Strangers: Chapter 1,15-05-2024,"Horror, Thriller",Renny Harlin,"Madelaine Petsch, Froy Gutierrez, Gabriel Basso, Ema Horvath, Ella Bruccoleri","Courtney Solomon, Mark Canton",8723657.826700967,49433836.597598255,6.1966,5.7,727,2024
11778,The Deer Hunter,08-12-1978,"Drama, War",Michael Cimino,"Robert De Niro, Christopher Walken, John Cazale, John Savage, Meryl Streep","Michael Cimino, Michael Deeley",74066641.10429448,241951027.60736194,5.4869,7.977,4198,1978
2005,Sister Act,28-05-1992,"Music, Comedy",Emile Ardolino,"Whoopi Goldberg, Maggie Smith, Kathy Najimy, Wendy Makkena, Mary Wickes",Teri Schwartz,71134946.54312187,531458708.52779746,5.1377,6.825,3414,1992
663712,Terrifier 2,06-10-2022,Horror,Damien Leone,"David Howard Thornton, Lauren LaVera, Elliott Fullam, Sarah Voigt, Kailey Hyman","Steven Della Salla, Phil Falcone",275019.2205839641,17317168.264816936,5.3162,6.7,2458,2022
274167,Daddy's Home,25-12-2015,Comedy,Sean Anders,"Will Ferrell, Mark Wahlberg, Linda Cardellini, Thomas Haden Church, Scarlett Estevez","Chris Henchy, Will Ferrell",67915592.55243294,329779287.1574233,4.437,6.294,3413,2015
