release_year,decade,is_modern,is_summer,is_awards,log_adj_budget,popularity,vote_average,log_vote_count,has_rating,director_popularity,director_experience,actor_popularity,avg_actor_popularity,actor_experience,producer_popularity,genre_count,budget_popularity_ratio,director_x_budget,actor_x_budget,genre_Drama,genre_Comedy,genre_Thriller,genre_Action,genre_Adventure,genre_Crime,genre_Romance,genre_Horror,genre_Science_Fiction,genre_Fantasy,genre_Family,genre_Mystery,genre_Animation,genre_History,genre_War,target
1939.0,1930.0,0.0,1.0,0.0,16.209121603002654,10.528,7.585,8.710454688248527,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.4060653715304174,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Hit
1940.0,1940.0,0.0,0.0,1.0,15.880897610707754,7.1453,8.282,8.20849175174038,1.0,1.7890092692909592,3.0,1.7890092692909592,0.5963364230969864,3.0,1.7890092692909592,2.0,1.9497007612620476,28.41107303021682,9.47035767673894,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Hit
1941.0,1940.0,0.0,0.0,1.0,15.285784273512537,2.1789,7.126,6.787844982309579,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.808513722832595,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Hit
1941.0,1940.0,0.0,0.0,1.0,14.979495676797562,5.2439,6.986,8.568076401730806,1.0,0.0,0.0,0.0,0.0,0.0,64.64070119999998,2.0,2.399060791620231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Avg
1941.0,1940.0,0.0,0.0,1.0,14.206921726469195,2.6063,7.704,7.526717561352706,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.9394730683717927,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Hit
1941.0,1940.0,0.0,0.0,1.0,14.964607068987403,2.1693,7.314,6.111467339502679,1.0,1.0771753981188388,1.0,0.0,0.0,0.0,2.6887417218543046,1.0,4.721738891549365,16.119506577228496,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hit
1942.0,1940.0,0.0,0.0,0.0,14.939289269129343,1.4276,6.884,6.289715570908998,1.0,3.079782411604715,1.0,0.0,0.0,0.0,1.2871794871794875,1.0,6.153933625444614,46.00976033293961,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Avg
1942.0,1940.0,0.0,0.0,1.0,13.177836716423641,1.8462,6.934,6.501289670540389,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.629975657516563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Hit
1942.0,1940.0,0.0,0.0,0.0,15.370072071454569,1.6329,7.8,6.715383386334681,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.837696863327345,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Avg
1943.0,1940.0,0.0,0.0,1.0,15.60382575784048,1.8642,6.8,4.189654742026425,1.0,0.0,0.0,3.079782411604715,1.0265941372015717,1.0,0.0,1.0,5.447882744864352,0.0,16.01879604091391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Hit
