movie_id,title,release_date,genres,director,actors,producers,budget,revenue,popularity,vote_average,vote_count,production_companies
1165,The Queen,2006-09-15,"Drama, History",Stephen Frears,"Helen Mirren, Michael Sheen, James Cromwell, Helen McCrory, Alex Jennings","Christine Langan, Tracey Seaward",15000000,123384128,3.1026,6.952,1417,"['Granada Productions', 'Pathé Renn Productions', 'BiM Distribuzione']"
24684,An Education,2009-10-29,"Drama, Romance",Lone Scherfig,"Carey Mulligan, Peter Sarsgaard, Dominic Cooper, Rosamund Pike, Olivia Williams","Amanda Posey, Finola Dwyer",10000000,26096852,1.8321,6.943,1416,"['BBC Film', 'Wildgaze Films', 'Endgame Entertainment']"
77174,ParaNorman,2012-08-03,"Family, Animation, Adventure, Comedy",Sam Fell,"Kodi Smit-McPhee, Tucker Albrizzi, Anna Kendrick, Casey Affleck, Christopher Mintz-Plasse","Arianne Sutner, Travis Knight",60000000,107307220,4.3392,7.032,2744,['LAIKA']
77877,The Lucky One,2012-04-19,"Drama, Romance",Scott Hicks,"Zac Efron, Taylor Schilling, Blythe Danner, Jay R. Ferguson, Riley Thomas Stewart","Kevin McCormick, Denise Di Novi",25000000,99400000,3.5882,7.17,3808,"['Di Novi Pictures', 'Langley Park Production', 'Village Roadshow Pictures', 'Warner Bros. Pictures']"
11113,My Fair Lady,1964-12-01,"Comedy, Romance",George Cukor,"Audrey Hepburn, Rex Harrison, Stanley Holloway, Wilfrid Hyde-White, Gladys Cooper","James C. Katz, Jack L. Warner",17000000,72661442,2.9704,7.507,1415,['Warner Bros. Pictures']
262391,Serial (Bad) Weddings,2014-04-16,Comedy,Philippe de Chauveron,"Christian Clavier, Chantal Lauby, Ary Abittan, Medi Sadoun, Frédéric Chau",Romain Rojtman,13000000,176404493,3.4796,6.664,3509,['UGC']
7553,Waiting...,2005-10-07,"Comedy, Romance",Rob McKittrick,"Ryan Reynolds, Anna Faris, Justin Long, David Koechner, Luis Guzmán","Jeff Balis, Adam Rosenfelt",3000000,18637690,4.232,6.21,972,"['LIFT Productions', 'Eden Rock Media', 'Lions Gate Films']"
2100,The Last Castle,2001-10-19,"Action, Drama, Thriller",Rod Lurie,"Robert Redford, James Gandolfini, Mark Ruffalo, Delroy Lindo, Clifton Collins Jr.",Robert Lawrence,72000000,27642707,3.1814,7.174,1405,"['DreamWorks Pictures', 'Robert Lawrence Productions']"
174,Star Trek VI: The Undiscovered Country,1991-12-06,"Science Fiction, Action, Adventure, Thriller",Nicholas Meyer,"William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan, Walter Koenig","Ralph Winter, Steven-Charles Jaffe",27000000,96888996,2.4874,7.036,1404,['Paramount Pictures']
850,A Christmas Story,1983-11-18,"Comedy, Family",Bob Clark,"Melinda Dillon, Darren McGavin, Peter Billingsley, Jean Shepherd, Ian Petrella","Bob Clark, René Dupont",3300000,20700000,2.4282,7.228,1403,['Metro-Goldwyn-Mayer']
